Chromosome Name	Gene Start (bp)	Gene End (bp)	Associated Gene Name
16	18511182	18573533	NOMO2
1	12040238	12073571	MFN2
4	95219686	95264027	HPGDS
15	80351910	80430735	ZFAND6
6	129204342	129837714	LAMA2
3	53880607	53899827	IL17RB
4	57259528	57301781	PPAT
3	155093369	155462856	PLCH1
9	107543283	107690518	ABCA1
19	39109735	39127595	EIF3K
17	1323983	1366456	CRK
11	77726761	77757237	KCTD14
7	128594948	128695198	TNPO3
19	53662466	53696639	ZNF665
11	125541417	125551018	ACRV1
3	184079506	184086384	POLR2H
2	134877554	135212192	MGAT5
6	32808494	32812480	PSMB8
14	24583404	24594451	DCAF11
20	34359896	34538303	PHF20
1	108113782	108507766	VAV3
22	46756731	46933067	CELSR1
19	39138289	39222223	ACTN4
8	124054208	124164393	TBC1D31
19	2867333	2878515	ZNF556
5	178322895	178360213	ZFP2
10	114190058	114206672	ZDHHC6
2	20232411	20251789	LAPTM4A
11	47199076	47207994	PACSIN3
2	241807896	241819919	AGXT
11	77811982	77850706	ALG8
5	56215429	56267502	MIER3
14	105155943	105185942	INF2
22	46971909	47075688	GRAMD4
6	32811913	32827362	PSMB9
1	36023074	36032875	NCDN
7	92861653	92988338	CCDC132
7	55086714	55324313	EGFR
12	65174589	65274812	TBC1D30
19	2977444	2995177	TLE6
2	42994229	43019733	HAAO
9	108006903	108201452	SLC44A1
8	70378859	70573150	SULF1
22	47080308	47134158	CERK
5	178405328	178423207	GRM6
6	32812986	32821755	TAP1
X	149097745	149107029	CXorf40B
15	80444832	80479288	FAH
1	12079523	12092102	MIIP
11	47236493	47260767	DDB2
17	31340105	32501983	ASIC2
1	108676658	108743471	SLC25A24
16	89238175	89261900	CDH15
2	241825465	241836306	C2orf54
8	37553269	37557537	ZNF703
11	125753509	125770543	HYLS1
19	53893046	53930574	ZNF765
3	33839844	33911194	PDCD6IP
10	114206756	114578503	VTI1A
22	47158518	47571336	TBC1D22A
11	125763381	125773116	PUS3
3	125725198	125820404	SLC41A3
19	53970989	54006950	ZNF813
1	12123434	12204264	TNFRSF8
5	178537852	178772431	ADAMTS2
2	20400558	20425194	SDC1
12	3900213	3982608	PARP11
15	80696692	80890278	ARNT2
19	2997636	3047633	TLE2
11	125773271	125793158	DDX25
7	24323782	24331484	NPY
16	57644564	57698944	GPR56
12	65444406	65515346	WIF1
16	89284118	89295363	ZNF778
4	95373037	95589377	PDLIM5
3	48473574	48481866	CCDC51
8	37594117	37616619	ERLIN2
10	5931535	5979556	FBXO18
HSCHR6_MHC_MCF	31784084	31808928	MSH5-SAPCD1
20	34541539	34547394	SCAND1
11	47260853	47270457	ACP2
19	39279851	39282389	LGALS7B
7	24612887	24733812	MPP6
9	108320411	108403399	FKTN
4	57301907	57327534	PAICS
17	1367392	1396106	MYO1C
14	51441980	51562779	TRIM9
6	129897277	130031370	ARHGAP18
1	36067185	36107445	PSMB2
17	16454701	16472520	ZNF287
1	12227060	12269285	TNFRSF1B
1	36179476	36185073	C1orf216
17	32582304	32584222	CCL2
9	108456825	108538893	TMEM38B
HSCHR6_MHC_MCF	31809667	31821408	VWA7
16	89334038	89556969	ANKRD11
12	4382938	4414516	CCND2
X	70521584	70525221	ITGB1BP2
1	109102711	109187522	FAM102B
16	18792617	18801705	RPS15A
7	24737972	24809244	DFNA5
11	77926343	78129394	GAB2
X	149529689	149682448	MAMLD1
4	57333081	57369839	SRP72
19	39292311	39304004	LGALS4
1	36185819	36235568	CLSPN
19	14903302	14946188	OR7A5
3	53901093	53916229	ACTR8
16	18802991	18813000	ARL6IP1
3	48488114	48507115	ATRIP
19	14909958	14911023	OR7C1
X	149737069	149841795	MTM1
19	14951760	14952689	OR7A10
HSCHR6_MHC_MCF	31821595	31840030	VARS
19	14991138	14992264	OR7A17
4	15606162	15683302	FBXL5
19	15052301	15053260	OR7C2
5	178977559	179037027	RUFY1
19	54024235	54083523	ZNF331
20	34679426	34820721	EPB41L1
1	155629237	155658791	YY1AP1
12	53585102	53601091	ITGB7
2	20448452	20551995	PUM2
19	39306062	39322645	ECH1
X	107975712	107979651	IRS4
19	15060846	15133802	SLC1A6
X	108616135	108725301	GUCY2F
10	114710009	114927437	TCF7L2
1	109234945	109244425	PRPF38B
9	110045418	110094475	RAD23B
10	99218081	99258551	MMS19
12	4430371	4462338	C12orf5
10	13359424	13390297	SEPHS1
X	108779010	108787919	NXT2
14	51706880	51722759	TMX1
X	108866929	108868393	KCNE1L
12	4477393	4488894	FGF23
12	4537321	4554780	FGF6
8	37620111	37637283	PROSC
19	15218214	15225799	SYDE1
16	89557325	89624176	SPG7
11	125825691	125933230	CDON
9	110247133	110252763	KLF4
12	65563351	65642107	LEMD3
9	111616871	111619239	ACTL7B
12	19556979	19873735	AEBP2
9	111624603	111626035	ACTL7A
12	4596894	4647674	C12orf4
1	12290124	12572099	VPS13D
X	108867473	108976632	ACSL4
1	109289296	109352148	STXBP3
17	16592851	16707767	CCDC144A
17	32597240	32599261	CCL7
22	50166931	50221160	BRD1
X	149861435	149933576	MTMR1
19	15225795	15236596	ILVBL
1	36273773	36323491	AGO4
14	74034324	74042357	ACOT2
11	47269851	47290396	NR1H3
HSCHR6_MHC_COX	29519995	29524308	UBD
2	241938255	242034983	SNED1
3	155538813	155572218	SLC33A1
15	81239667	81282219	MESDC2
19	39327028	39342987	HNRNPL
9	111629797	111696396	IKBKAP
HSCHR6_MHC_MCF	31841473	31851062	LSM2
17	32612687	32615353	CCL11
20	34824381	34858840	AAR2
3	35680437	35835988	ARPP21
2	48756522	48826025	STON1
22	50247490	50283726	ZBED4
14	105190523	105213662	ADSSL1
16	18816175	18937776	SMG1
4	57514155	57548065	HOPX
4	95679119	96079599	BMPR1B
3	54156574	55108584	CACNA2D3
1	36335409	36395211	AGO1
2	43393800	43823185	THADA
22	50293877	50312106	ALG12
16	57702099	57723975	GPR97
5	76986991	77164604	TBCA
7	55433141	55501435	LANCL2
X	70586114	70752224	TAF1
HSCHR6_MHC_COX	29552288	29553350	OR2H2
16	89627065	89630950	RPL13
20	34894258	35157040	DLGAP4
HSCHR6_MHC_MCF	31901917	31907164	NEU1
7	128828713	128853386	SMO
11	78147007	78285919	NARS2
6	32902406	32908847	HLA-DMB
8	70579282	70747299	SLCO5A1
9	111696461	111713024	FAM206A
15	81293295	81296342	MESDC1
19	15270444	15311792	NOTCH3
8	124260696	124287781	ZHX1
2	170366212	170382772	KLHL41
17	76210267	76221717	BIRC5
8	70963886	70983928	PRDM14
22	50311815	50321188	CRELD2
11	78363876	79151992	TENM4
12	4647950	4669214	RAD51AP1
12	20522179	20837315	PDE3A
4	57676026	57687908	SPINK2
1	109417972	109477167	GPSM2
11	126132814	126139039	SRPR
4	96083655	96470357	UNC5C
7	128864864	129070052	AHCYL2
9	111704851	111775809	CTNNAL1
5	77296349	77590579	AP3B1
1	155657751	155708801	DAP3
16	89642176	89663654	CPNE7
8	37641709	37702414	GPR124
19	54369477	54379691	MYADM
19	3052908	3063105	AES
8	71021997	71316040	NCOA2
15	81451916	81605104	IL16
12	20848289	20906320	SLCO1C1
17	40253422	40264751	DHX58
HSCHR6_MHC_MCF	31907450	31923299	SLC44A4
1	36396319	36538101	AGO3
11	82534544	82681626	PRCP
4	57774075	57802010	REST
19	3094408	3124002	GNA11
19	54382444	54410906	PRKCG
19	15337730	15344246	EPHX3
8	124332090	124428590	ATAD2
2	170386259	170430385	FASTKD1
22	50354161	50357728	PIM3
X	109245859	109425962	TMEM164
19	3136191	3163767	GNA15
7	55503749	55640681	VOPP1
3	184089723	184095932	THPO
1	109472130	109506111	CLCC1
19	3172344	3180329	S1PR4
20	35169887	35178228	MYL9
5	56469775	56560506	GPBP1
9	111892573	111929571	FRRS1L
19	15347647	15443356	BRD4
8	37700786	37707422	BRF2
1	12627939	12677737	DHRS3
20	35201891	35222353	TGIF2
19	39369197	39390502	SIRT2
7	93053799	93204042	CALCR
9	111934255	112083244	EPB41L4B
6	32916390	32936871	HLA-DMA
4	96761239	96762625	PDHA2
3	125822412	125916837	ALDH1L1
HSCHR6_MHC_COX	29621355	29636747	MOG
19	3185561	3209573	NCLN
20	35234137	35240960	C20orf24
17	80787311	80798454	ZNF750
4	15704573	15739936	BST1
7	24836158	25021253	OSBPL3
11	82611017	82669319	C11orf82
4	57843888	57897334	POLR2B
16	57769642	57791162	KATNB1
14	74178494	74181128	PNMA1
3	48509197	48542259	SHISA5
5	179041179	179061785	HNRNPH1
17	80900031	81009686	B3GNTL1
15	81601394	81616524	STARD5
2	135675805	135716912	CCNT2
9	112137746	112260590	PTPN3
8	37716136	37756985	RAB11FIP1
16	18995256	19075264	TMC7
3	184097861	184108524	CHRD
19	15464196	15490609	AKAP8
HSCHR6_MHC_MCF	31924012	31941947	EHMT2
1	109512836	109584850	WDR47
16	89679716	89704839	DPEP1
X	109437414	109683461	AMMECR1
14	74181825	74256988	ELMSAN1
11	82684175	82782965	RAB30
1	36560837	36590821	COL8A2
9	112403068	112713755	PALM2
17	76352864	76356158	SOCS3
12	53604354	53626764	RARG
16	89710839	89724253	CHMP1A
1	36602173	36615098	TRAPPC3
X	70752933	70795747	OGT
1	109605108	109618624	TAF13
8	71485677	71520622	TRAM1
14	92524896	92572965	ATXN3
1	12834984	12838049	PRAMEF12
9	112542589	112934792	PALM2-AKAP2
4	99182535	99365012	RAP1GDS1
7	55954970	56022932	MRPS17
6	32936437	32949282	BRD2
1	12907261	12908578	HNRNPCL1
16	19078921	19091417	COQ7
14	24605367	24608176	PSME1
17	40265126	40273376	KAT2A
17	1397865	1420182	INPP5K
1	12952727	12958101	PRAMEF10
14	52456193	52471420	C14orf166
20	35280169	35374481	NDRG3
2	135722061	135805038	MAP3K19
4	15779898	15854853	CD38
9	112542769	112934792	AKAP2
14	105219437	105234831	SIVA1
1	36621180	36646450	MAP7D1
7	56019486	56067874	GBAS
16	89747145	89762772	CDK10
3	54952264	55001115	LRTM1
9	113006091	113018920	TXN
8	37820516	37824483	ADRB3
19	3359561	3469215	NFIC
17	16832849	16875432	TNFRSF13B
8	37887859	37917883	EIF4EBP1
3	36421836	36589499	STAC
X	109917084	110039286	CHRDL1
11	82868030	82898493	PCF11
2	170440850	170497916	PPIG
3	55499743	55523973	WNT5A
12	100422233	100536626	UHRF1BP1L
22	50497820	50524331	MLC1
16	57792129	57896957	KIFC3
1	109656301	109749401	KIAA1324
8	124428965	124479470	WDYHV1
15	82422571	82555104	EFTUD1
5	77781038	78065844	LHFPL2
8	71547553	71581409	LACTB2
17	76374721	76421195	PGS1
12	4671370	4723325	DYRK4
8	37962760	38001594	ASH2L
1	13359819	13369057	PRAMEF5
17	81037567	81052864	METRNL
X	150148982	150159248	HMGB3
19	39390340	39399533	NFKBIB
16	19179293	19279652	SYT17
14	24608174	24610797	EMC9
14	105235686	105262088	AKT1
17	40276994	40307035	RAB5C
X	150345125	150349937	GPR50
11	126173647	126215644	DCPS
1	155719508	155829191	GON4L
4	57896939	57976551	IGFBP7
2	242045514	242089679	PASK
5	78073032	78281910	ARSB
8	124510129	124553446	FBXO32
4	15937192	15940363	FGFBP1
12	20963636	21243040	SLCO1B3
7	25159710	25164980	CYCS
5	57749809	57756087	PLK2
9	113127531	113342160	SVEP1
19	3490819	3500938	DOHH
20	35380194	35402221	DSN1
19	39405906	39440495	SARS2
11	47290712	47351582	MADD
4	99391518	99579780	TSPAN5
3	55542336	56502391	ERC2
14	24612574	24616779	PSME2
12	100592900	100635643	ACTR6
3	191857184	192485553	FGF12
19	15490859	15529952	AKAP8L
1	109756540	109780791	SARS
6	32971955	32977389	HLA-DOA
8	72109668	72274467	EYA1
3	48555117	48599448	PFKFB4
7	93220885	93540577	GNGT1
16	89762751	89768113	SPATA2L
7	93514709	93520303	TFPI2
3	184279572	184300197	EPHB3
8	124693034	124749647	ANXA13
16	89773542	89787394	VPS9D1
12	104849073	105155792	CHST11
16	19421818	19510435	TMC5
9	113431051	113563859	MUSK
17	16945859	17120993	MPRIP
11	126225535	126310239	ST3GAL4
11	82970139	82997450	CCDC90B
15	82821158	82824972	RPS17
X	150863596	150874396	PRRG3
19	39421188	39423802	MRPS12
17	40308909	40333296	KCNH4
3	184428156	184429836	MAGEF1
19	15532319	15560762	WIZ
4	15964699	16086001	PROM1
2	170550998	170633499	KLHL23
1	109792641	109818372	CELSR2
14	52471521	52535712	NID2
17	76419778	76573476	DNAH17
4	99792835	99851788	EIF4E
9	113635543	113800981	LPAR1
3	192958914	192995527	HRASLS
16	89786808	89807311	ZNF276
3	36868311	36986548	TRANK1
20	35405845	35492089	SOGA1
7	56019512	56024192	MRPS17
6	33032346	33048552	HLA-DPA1
19	3506271	3538328	FZR1
HSCHR6_MHC_MCF	31942047	31989896	C2
7	25264189	25268105	NPVF
1	13668269	13673511	PRAMEF14
1	155829300	155854990	SYT11
16	57917503	58005020	CNGB1
7	26191860	26226745	NFE2L3
7	56078744	56119297	PSPH
1	36690017	36770958	THRAP3
19	39432044	39466550	FBXO17
6	131160487	131384462	EPB41L2
10	5990855	6020150	IL15RA
2	170648443	170668574	SSB
14	52734431	52743442	PTGDR
7	26229547	26241149	HNRNPA2B1
1	155867599	155881195	RIT1
8	38001167	38008783	STAR
7	129251555	129396922	NRF1
1	13909960	13944452	PDPN
1	36771988	36790484	SH3D21
19	3538259	3574288	MFSD12
14	74353320	74399214	ZNF410
8	38020839	38034248	LSM1
9	114122972	114247025	KIAA0368
1	109822178	109825808	PSRC1
7	56119323	56131682	CCT6A
17	1614805	1620468	MIR22HG
1	36787632	36789755	EVA1B
2	135809835	135933964	RAB3GAP1
3	37027357	37034795	EPM2AIP1
X	151080981	151093642	MAGEA4
12	53645035	53648189	MFSD5
20	35518632	35580246	SAMHD1
16	19513015	19533467	GDE1
10	115310596	115349361	HABP2
8	38034051	38070819	BAG4
22	50624344	50638027	TRABD
1	36805225	36851497	STK40
12	48128455	48164823	RAPGEF3
4	99916771	99983964	METAP1
1	14026693	14151574	PRDM2
12	4724674	4758213	AKAP3
12	53662083	53687427	ESPL1
19	54606036	54612564	NDUFA3
1	155882834	155904191	KIAA0907
6	33043703	33054978	HLA-DPB1
14	52781023	52795324	PTGER2
4	62066976	62944053	LPHN3
16	19535133	19564730	CCP110
14	52897308	53019240	TXNDC16
8	38082736	38133076	DDHD2
16	89803957	89883065	FANCA
19	54610320	54619055	TFPT
1	109852192	109940573	SORT1
6	30875961	30881883	GTF2H4
3	126061478	126076285	KLF15
HSCHR6_MHC_MCF	31989874	31996308	CFB
5	78365540	78385289	BHMT2
2	242088991	242123067	PPP1R7
1	155911480	155912625	RXFP4
16	58033450	58055522	USB1
15	83211951	83317612	CPEB1
3	126113782	126155399	CCDC37
12	4758261	4798454	NDUFA9
3	184529931	184770402	VPS8
1	36856839	36863493	LSM10
4	99992132	100009952	ADH5
X	70835766	70838367	CXCR3
19	3572775	3579086	HMG20B
1	109941653	109969062	PSMA5
7	102178365	102213103	POLR2J3
7	129470572	129592789	UBE2H
3	48599160	48601206	UCN2
X	151121596	151143152	GABRE
19	15751707	15773635	CYP4F3
11	47352957	47374253	MYBPC3
20	35624752	35724398	RBL1
19	39616410	39673456	PAK4
8	125463048	125474391	TRMT12
9	114423615	114432526	GNG10
8	125486979	125500155	RNF139
16	58059470	58080805	MMP15
3	37034823	37107380	MLH1
17	1421012	1466110	PITPNA
1	110026101	110035426	ATXN7L2
2	216225163	216300895	FN1
X	110187513	110470589	PAK3
11	128328656	128457453	ETS1
17	40336078	40337470	HCRT
14	105331617	105363107	CEP170B
5	179105629	179157926	CANX
19	15783567	15807984	CYP4F12
12	21284136	21392180	SLCO1B1
7	102220093	102257204	RASA4
15	83328033	83378666	AP3B2
HSCHR6_MHC_MCF	31996311	32003316	NELFE
11	128556430	128683162	FLI1
16	58147496	58163354	C16orf80
3	48601506	48632700	COL7A1
19	39818993	39833012	GMFG
8	72753784	72756703	MSC
16	19566562	19718115	C16orf62
11	83166055	85338966	DLG2
9	114659046	114697649	UGCG
2	43449541	43453748	ZFP36L2
2	48844937	48960287	GTF2A1L
16	58191811	58231824	CSNK2A2
19	54618837	54635140	PRPF31
1	36921319	36930038	MRPS15
1	110091233	110136975	GNAI3
5	58264865	59817947	PDE4D
10	115348475	115423886	NRAP
8	72932152	72987852	TRPA1
11	167784	207428	BET1L
20	35724188	35725581	RBL1
12	21417534	21572528	SLCO1A2
17	17115526	17140502	FLCN
1	110145889	110155679	GNAT2
5	179159851	179223512	MAML1
19	15838834	15839862	OR10H2
19	15852203	15853153	OR10H3
1	155916630	155976861	ARHGEF2
17	7128660	7137864	DVL2
19	15917817	15918936	OR10H1
19	39833036	39876350	SAMD4B
5	179220981	179223648	LTC4S
X	151301782	151307033	MAGEA10
19	15988833	16008930	CYP4F2
8	73449626	73850584	KCNB2
3	126156444	126194762	ZXDC
19	3594504	3606838	TBXA2R
4	100123795	100140694	ADH6
19	54641444	54659419	CNOT3
8	73921099	73960357	TERF1
17	1472561	1532180	SLC43A2
3	100941390	101039404	IMPG2
14	24615892	24629870	RNF31
1	36931644	36948879	CSF3R
12	53689075	53693234	PFDN5
1	14925200	15444539	KAZN
X	151334706	151619830	GABRA3
16	58328984	58440048	GINS3
19	3610639	3626813	CACTIN
22	50683612	50689834	HDAC10
7	93551011	93557922	GNG11
8	125551344	125580751	NDUFB9
11	47376411	47400127	SPI1
20	35806813	35870022	RPN2
9	114980715	115095947	PTBP3
1	15479028	15546976	TMEM51
7	93592074	93633694	BET1
17	40351186	40428725	STAT5B
4	100197524	100212185	ADH1A
19	16023177	16045677	CYP4F11
12	48147699	48176536	SLC48A1
4	66185281	66536213	EPHA5
2	170666591	170681441	METTL5
11	128706210	128737268	KCNJ1
X	151806637	151825999	GABRQ
1	110158726	110174673	AMPD2
11	207511	215113	RIC8A
7	26240782	26252976	CBX3
10	99258625	99330966	UBTD1
19	3630181	3700477	PIP5K1C
11	47428683	47438047	SLC39A13
7	94023873	94060544	COL1A2
11	128761251	128790930	KCNJ5
5	78407602	78428108	BHMT
9	115142217	115234690	HSDL2
11	128769460	128775930	C11orf45
12	100660918	100735502	SCYL2
X	110488331	110513751	CAPN6
17	17150141	17184607	COPS3
11	128804626	128813040	TP53AIP1
7	26331541	26413949	SNX10
8	73976775	74036323	SBSPON
7	26572740	26578407	KIAA0087
15	83509838	83654661	HOMER2
8	125563031	125740730	MTSS1
1	37261128	37499730	GRIK3
8	74202506	74208024	RPL7
19	39876492	39881835	PAF1
10	6052652	6104288	IL2RA
3	101043049	101232085	SENP7
2	242166679	242256476	HDLBP
HSCHR6_MHC_MCF	32003304	32013975	SKIV2L
1	110198703	110208118	GSTM4
7	26706681	27034858	SKAP2
1	155978839	155990750	SSR2
20	35879489	35890238	GHRH
19	3708107	3750811	TJP3
3	56654161	56717265	FAM208A
X	110537007	110655603	DCX
14	53106634	53162618	ERO1L
7	129710350	129775560	KLHDC10
9	115800660	115819039	ZFP37
4	100226121	100242558	ADH1B
11	128834955	129149219	ARHGAP32
16	19714902	19729557	KNOP1
16	89940000	89977792	TCF25
9	115913222	115926417	SLC31A2
10	13628927	13672868	PRPF18
20	35973088	36034453	SRC
12	4829507	4960277	GALNT8
14	24630262	24635774	IRF9
HSCHR6_MHC_MCF	32014034	32016516	DXO
11	47440320	47447993	PSMC3
4	68337521	68411324	CENPC
1	110210644	110252171	GSTM2
12	5019071	5040527	KCNA1
17	40439565	40463961	STAT5A
11	85339629	85347580	TMEM126B
14	105403581	105444694	AHNAK2
12	5153085	5155949	KCNA5
16	19727778	19868907	IQCK
7	27132612	27135615	HOXA1
X	151883082	151887096	MAGEA2B
10	99332198	99343641	ANKRD2
17	1537152	1549041	SCARF1
9	115923286	115983641	FKBP15
1	37940153	37949980	ZC3H12A
12	53693470	53700961	C12orf10
4	100257649	100274184	ADH1C
11	215458	236931	SIRT3
14	53173890	53195305	PSMC6
12	21507893	21532912	IAPP
19	3750817	3761697	APBA3
1	15736391	15756839	EFHD2
1	37958176	37980375	MEAF6
9	115983808	116028674	SLC31A1
20	36120874	36156333	BLCAP
4	100333418	100356894	ADH7
22	50683879	50700254	MAPK12
19	39881943	39891277	MED29
11	85370752	85393951	CREBZF
5	179224597	179233952	MGAT4B
X	151899293	151903184	MAGEA12
16	89978527	89987385	MC1R
19	54677107	54693733	MBOAT7
7	129804555	129847610	TMEM209
11	129245835	129322171	BARX2
15	83685174	83736106	BTBD1
12	5541278	5630702	NTF3
9	116037623	116055185	PRPF4
12	21590549	21623300	PYROXD1
16	19868616	19897489	GPRC5B
19	39897453	39900052	ZFP36
1	38000050	38019903	SNIP1
1	15764935	15775737	CTRC
1	110254864	110318050	GSTM5
16	89985573	90002500	TUBB3
20	36149617	36152092	NNAT
1	156024543	156028301	LAMTOR2
1	38022520	38032458	DNALI1
17	76670130	76778379	CYTH1
6	33130458	33160276	COL11A2
14	105452112	105476819	C14orf79
2	44001178	44037149	DYNC2LI1
12	5641035	6055398	ANO2
16	58496750	58547532	NDRG4
11	47459308	47470730	RAPSN
8	126010739	126034525	SQLE
15	83776159	83813606	TM6SF1
12	105413568	105478355	ALDH1L2
3	126243126	126262134	CHST13
1	110276554	110284384	GSTM3
3	37094117	37225180	LRRFIP2
HSCHR6_MHC_MCF	32015399	32025671	STK19
6	131456806	131604675	AKAP7
1	156030951	156040295	RAB25
16	89987800	90005169	TUBB3
3	126290622	126373998	TXNRD3
14	74416629	74430373	COQ6
19	54693789	54697585	TSEN34
19	3777971	3802127	MATK
5	140071011	140078889	HARS2
12	6058040	6233936	VWF
8	74332604	74659943	STAU2
12	48176505	48226915	HDAC7
6	131894284	131905472	ARG1
9	116111821	116133513	BSPRY
20	36322408	36500531	CTNNBL1
9	116135699	116139279	HDHD3
11	129733531	129765485	NFRKB
1	110292702	110306649	EPS8L3
7	27139721	27142430	HOXA2
17	3019717	3020660	OR1E3
9	116148597	116163613	ALAD
HSCHR6_MHC_MCF	32058986	32079643	C4A
15	83784320	83876770	HDGFRP3
2	136289025	136482840	R3HDM1
11	47487496	47587121	CELF1
HSCHR6_MHC_DBB	31981894	31985266	CYP21A2
17	3143970	3144908	OR1D4
8	126036502	126104082	KIAA0196
7	56148440	56160689	PHKG1
5	179233388	179265078	SQSTM1
16	20320894	20339130	GP2
9	116169515	116172952	POLE3
12	53701240	53718648	AAAS
14	24641062	24649463	REC8
1	38032417	38061536	GNL2
19	39903225	39919054	PLEKHG2
12	21621845	21654603	RECQL
20	36611409	36661870	TTI1
14	53196898	53241716	STYX
HSCHR12_2_CTG2	10954131	10955226	TAS2R7
15	83924655	83953466	BNC1
X	151934652	151938240	MAGEA3
19	54704610	54752862	RPS9
10	99344131	99436191	PI4K2A
19	3804022	3869030	ZFR2
1	110452864	110473614	CSF1
19	16177831	16213813	TPM4
12	100867486	100958191	NR1H4
HSCHR12_2_CTG2	10958650	10959892	TAS2R8
15	84115980	84287495	SH3GL3
7	27145803	27192200	HOXA3
22	50702142	50709196	MAPK11
HSCHR12_2_CTG2	10961736	10962767	TAS2R9
1	38147242	38157914	C1orf109
HSCHR12_2_CTG2	10977559	11356160	PRR4
2	48859428	48982880	LHCGR
7	27168126	27170418	HOXA4
4	100484918	100545156	MTTP
7	27180671	27183287	HOXA5
17	7143333	7146089	GABARAP
14	105475910	105487485	CDCA4
X	110909043	111003877	ALG13
7	27185015	27190222	HOXA6
17	1553923	1588176	PRPF8
10	99344131	99433667	PI4K2A
11	236546	252983	PSMD13
7	27193335	27197555	HOXA7
X	151995517	151999321	CETN2
7	27202054	27210117	HOXA9
14	53323986	53419153	FERMT2
11	85405267	85522184	SYTL2
7	129906667	129929638	CPA2
19	16222439	16245044	RAB8A
16	20344374	20367623	UMOD
X	151999511	152038273	NSDHL
HSCHR12_2_CTG2	10977916	10978957	TAS2R10
7	27210210	27219880	HOXA10
19	54720147	54746602	LILRB3
5	78668459	78810040	HOMER1
HSCHR12_2_CTG2	11060525	11062161	TAS2R13
1	110527308	110566357	AHCYL1
14	105515728	105531782	GPR132
HSCHR12_2_CTG2	11090005	11356120	TAS2R14
7	27221129	27224842	HOXA11
HSCHR6_MHC_DBB	31984751	32061164	TNXB
15	84322838	84708594	ADAMTSL3
7	27233122	27239725	HOXA13
HG1133_PATCH	10954131	10955226	TAS2R7
HG1133_PATCH	10958650	10959892	TAS2R8
7	56169262	56174269	CHCHD2
10	99437181	99447080	AVPI1
HG1133_PATCH	10961736	10962767	TAS2R9
7	27282164	27290112	EVX1
22	50713408	50746056	PLXNB2
17	17206649	17250977	NT5M
19	16244838	16269386	HSH2D
19	39923847	39926588	RPS16
HG1133_PATCH	10977559	11320498	PRR4
7	94138531	94186331	CASD1
9	116207011	116360018	RGS3
12	6308881	6347425	CD9
4	68424446	68473055	STAP1
17	7146910	7155810	CTDNEP1
6	131895106	131949369	MED23
11	47586888	47606114	NDUFS3
5	140174444	140391929	PCDHA2
11	129769601	129872730	PRDM10
12	21654715	21671342	GOLT1B
19	16296191	16302857	FAM32A
5	59892739	59996017	DEPDC1B
20	36756863	36794980	TGM2
7	129932974	129964020	CPA4
3	48636435	48648409	UQCRC1
3	101292939	101313281	PCNP
1	156052364	156109880	LMNA
1	15783223	15798586	CELA2A
4	68478370	68566897	UBA6
19	3933101	3942414	NMRK2
HSCHR6_MHC_MCF	32082523	32085891	CYP21A2
17	17380300	17396540	MED9
1	15792404	15817895	CELA2B
X	152082986	152142024	ZNF185
11	47593749	47600567	KBTBD4
16	90014333	90034468	DEF8
16	20420856	20452658	ACSM5
1	110602616	110613322	ALX3
10	6186881	6277495	PFKFB3
1	38158090	38175391	CDCA8
HG1133_PATCH	10977916	10978957	TAS2R10
14	105607318	105635161	JAG2
HG1133_PATCH	11060525	11062161	TAS2R13
5	140180783	140391929	PCDHA3
14	24649425	24658170	IPO4
HG1133_PATCH	11090005	11320458	TAS2R14
20	36888551	36965907	BPI
19	3958451	3971121	DAPK3
4	68605046	68620078	GNRHR
1	15817327	15853029	CASP9
3	56761446	57113357	ARHGEF3
5	140201222	140391929	PCDHA5
1	110753965	110825722	KCNC4
15	84904525	84914120	GOLGA6L4
4	100737990	100791311	DAPP1
16	58549383	58554431	SETD6
5	179261436	179289173	C5orf45
9	116822407	116840752	AMBP
10	99496878	99520664	ZFYVE27
5	140207563	140391929	PCDHA6
12	6419602	6437672	PLEKHG6
8	74692332	74791145	UBE2W
8	126103921	126379362	NSMCE2
3	126707437	126756235	PLXNA1
19	16435628	16438685	KLF2
16	20462783	20498991	ACSM2A
HSCHR6_MHC_MCF	32085376	32161818	TNXB
1	110881128	110889299	RBM15
15	85144217	85171027	ZSCAN2
12	21689123	21757781	GYS2
1	15853308	15918874	DNAJC16
3	184908412	184999778	EHHADH
4	100799493	100815647	LAMTOR3
11	47599277	47599823	KBTBD4
5	140227048	140391929	PCDHA9
3	101367733	101396339	ZBTB11
HSCHR6_MHC_COX	29684537	29700280	HLA-F
4	68686594	68749750	TMPRSS11D
5	140235595	140391929	PCDHA10
3	101399935	101405626	RPL24
20	36974759	37005665	LBP
7	27565061	27702614	HIBADH
19	39926796	39967310	SUPT5H
8	126442563	126450647	TRIB1
1	15898848	15911605	AGMAT
7	64126511	64171404	ZNF107
7	94214542	94285521	SGCE
11	47638867	47664175	MTCH2
19	3976054	3985467	EEF2
9	116917840	117074791	COL27A1
17	17408877	17495022	PEMT
HG115_PATCH	101459219	101927238	CUX1
1	15943995	15995539	DDI2
4	100817405	100867883	DNAJB14
1	110905470	110933704	SLC16A4
14	53510686	53620000	DDHD1
1	15986364	15988217	RSC1A1
12	21788276	21910791	LDHB
HSCHR6_MHC_DBB	32041705	32071805	ATF6B
15	85185999	85197574	WDR73
8	127564687	127570638	FAM84B
19	4007644	4039384	PIAS4
17	7154735	7163259	ELP5
